ply in common,game1_id,game2_id,moves
21,98,128,b3 e5 Bb2 Nc6 e3 Nf6 Bb5 Bd6 Na3 a6 Bxc6 dxc6 Nc4 Qe7 Ne2 b5 Nxd6+ cxd6 a4 b4 O-O 
15,128,119,b3 e5 Bb2 Nc6 e3 Nf6 Bb5 Bd6 Na3 a6 Bxc6 dxc6 Nc4 Qe7 N
12,85,121,b3 Nf6 Bb2 g6 Bxf6 exf6 c4 d5 cxd5 Qxd5 Nc3 Qd8 
11,100,99,b3 e5 Bb2 Nc6 g3 d5 Bg2 Nf6 d3 Be6 Nd2 
11,76,74,b3 Nf6 Bb2 g6 Bxf6 exf6 c4 Bg7 Nc3 f5 Rc1 
10,52,24,g3 g6 Bg2 Bg7 e4 c5 Ne2 Nc6 O-O d6 
9,80,116,b3 e5 Bb2 Nc6 e3 Nf6 Bb5 Bd6 Ne2 
9,177,197,Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 
9,119,110,b3 e5 Bb2 Nc6 e3 Nf6 Bb5 Bd6 Na3 
9,108,98,b3 e5 Bb2 Nc6 e3 Nf6 Bb5 Bd6 Na3 
9,110,80,b3 e5 Bb2 Nc6 e3 Nf6 Bb5 Bd6 N
8,114,71,Nf3 d5 b3 c5 e4 dxe4 Ng5 Nf6 
8,22,57,g3 Nf6 Bg2 d5 c4 c6 Nf3 Bf5 
8,129,108,b3 e5 Bb2 Nc6 e3 Nf6 Bb5 Bd6 
8,172,187,Nf3 c5 c4 Nc6 Nc3 e5 e3 Nf6 
8,116,94,b3 e5 Bb2 Nc6 e3 Nf6 Bb5 Bd6 
8,189,171,Nf3 Nf6 g3 d5 Bg2 c6 O-O Bf5 
7,196,164,Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 
7,125,78,b3 e5 Bb2 d6 e3 Nf6 d4 
7,197,196,Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 
7,132,131,b3 e5 Bb2 d6 e3 Nf6 c4 
7,91,82,b3 d5 Bb2 Nf6 e3 c6 f4 
7,74,85,b3 Nf6 Bb2 g6 Bxf6 exf6 c4 
7,13,66,g3 Nf6 Bg2 d5 Nf3 e6 O-O 
7,38,18,b4 e5 Bb2 Bxb4 Bxe5 Nf6 h3 
6,131,125,b3 e5 Bb2 d6 e3 Nf6 
6,171,182,Nf3 Nf6 g3 d5 Bg2 c6 
6,93,132,b3 e5 Bb2 d6 e3 Nf6 
6,12,55,g3 d5 Nf3 Nf6 Bg2 c6 
6,28,42,g3 d5 Bg2 e5 d3 Nf6 
6,94,113,b3 e5 Bb2 Nc6 e3 Nf6 
6,184,189,Nf3 Nf6 g3 d5 Bg2 c
6,61,70,g3 e5 Bg2 d5 d3 c
6,115,88,b3 e5 Bb2 d6 c4 N
6,181,184,Nf3 Nf6 g3 d5 Bg2 c5 
6,141,155,f4 d5 Nf3 Nf6 e3 g6 
