21,-6,1-0,1rb1r3/pp3pQk/1np2P2/4p2p/1qP1P3/1P4pP/P5BN/3R3K b - - 3 32
173,-5,1-0,5rk1/3r1pP1/p3p2Q/qpp1p3/P3b3/1PP5/3PBP2/R3K3 b Q - 1 28
192,-6,1-0,3qN3/p3rp2/1bR2kp1/pP1Bp2p/P3P2P/6P1/5P2/5K2 b - - 1 42
402,4,0-1,6k1/7q/1pp2p2/p1b1p1p1/P3P3/2P1nBP1/1PQN4/R4K2 w - - 5 36
534,8,0-1,8/p4pk1/2p3p1/3p4/3nPQ2/2N3P1/P4PKr/RR5r w - - 2 29
571,4,0-1,8/3Q4/1p4pk/2p2p1q/2P5/1P3K1P/4R1B1/6b1 w - - 11 45
995,-4,1-0,Rr6/1P2Pn1p/7k/p4p2/8/4K3/8/8 b - - 1 56
1019,-4,1-0,5Q1k/p2qp2p/1prp1np1/3P2N1/8/1P4P1/P3PP1P/6K1 b - - 1 26
1051,5,0-1,4r1k1/1p3pB1/2pp2p1/1P6/2P3b1/5B2/2NP1P1q/QR3K2 w - - 0 27
1147,-4,1-0,Q5k1/4rp2/p2p2r1/1p5R/2nP1B1q/7P/P5n1/5R1K b - - 1 31
1237,-4,1-0,3rk3/4R3/1p1P4/2r1p1p1/p7/P7/1b4KP/5R2 b - - 1 41
1253,-6,1-0,3R2k1/pp4pp/6n1/8/8/8/Pq2r1BP/5R1K b - - 1 34
1504,5,0-1,8/5pk1/6p1/R3p2p/4P3/R2Pq1PP/5r2/Q6K w - - 4 50
1505,7,0-1,6k1/p5b1/1p1p4/2p1p3/1PKnP1P1/Pq3P1R/1B6/1R5Q w - - 1 31
1527,4,0-1,8/1p4k1/3p4/p1p1r1pP/P1P2q2/2QP3K/1P2PrB1/3RR3 w - - 0 33
1598,-4,1-0,2k5/1br5/2pr2pp/P2p4/1R4q1/8/5QPP/2R3K1 w - - 0 33
1614,-8,1-0,6Q1/2R3bk/6pp/8/7P/6P1/Bq2rPK1/2q5 b - - 1 47
1729,-9,1-0,r1bqk2r/ppp1np1p/3p1Np1/6B1/2PnP3/8/PP3PPP/R3KB1R b KQkq - 1 10
1775,-5,1-0,2n4Q/r4kr1/2p3q1/p1Npp3/1p1P4/4P3/PPP5/2K2R2 b - - 3 34
1803,-4,1-0,rnq3k1/pb3r1p/1p2pn1Q/3pN3/2pP1P2/2NB4/PPP2P1P/2K3R1 b - - 11 21
1813,4,0-1,3r2k1/5ppp/p3b3/1p3BN1/1q3QP1/1n3P2/P6P/2K1R2R w - - 3 28
1818,6,0-1,8/2p2pk1/5Rp1/3p4/3Pn3/1p4PQ/PP5P/K1r5 w - - 1 40
1891,-4,1-0,5r1k/p7/1p3rqp/3Pp2Q/8/2P1P3/P6P/6RK w - - 0 42
1920,4,0-1,r1b2Brk/5p2/p1P4p/P2Pp3/4Pq2/R4Nn1/1P3Q1K/4RB2 w - - 2 30
2016,-5,1-0,3r1k2/3P3p/p6r/q5p1/1P2p3/8/5QPP/3R2K1 b - - 0 35
2102,-6,1-0,2k5/1bQ5/2p1r3/1r5p/pp1q2pP/6Q1/P5PK/8 b - - 1 65
2200,-7,1-0,8/5nk1/8/p1p2p1p/P1P1p2P/1P4Pq/K7/5R2 b - - 1 58
2317,-7,1-0,5r2/7Q/1p3k2/p1pP4/2PnNP1p/8/q5PP/4n1K1 b - - 5 48
2320,5,0-1,2B3k1/p3rp2/2bp2p1/2r4p/P1p2P2/5QPP/1P1b2K1/R6R w - - 1 29
2387,5,0-1,4N3/8/1R2n2p/7k/8/Pp2b1B1/6PK/8 b - - 0 48
2402,-5,1-0,r1br3q/pp2Q3/2k5/6R1/2Bp4/6P1/2P2P2/6K1 b - - 6 44
2435,-4,1-0,1k1r4/pp6/2p2Q1p/6p1/8/1P6/2Rrq3/1KR5 b - - 3 39
2549,5,0-1,r3kb1r/ppp1pppp/8/4N3/6n1/2NB4/PPPP1PPq/R1BQ1RK1 w kq - 1 9
2600,-4,1-0,8/1kq1r1r1/p1p3p1/1p1PQpPp/PP3P1P/2P5/5K2/4R3 w - - 1 56
2770,4,0-1,1R3bk1/1p5p/p7/P5P1/r6P/3B2R1/KPPn4/8 w - - 1 40
2772,7,0-1,r5k1/ppp2r2/3p4/3Pp1bP/1PP1Pn2/2N2BKq/P1Q2B1N/R4R2 w - - 0 25
3101,-5,1-0,4Q2r/k1RP2p1/rn5q/4p2p/pP1P3P/P4P2/1K4P1/8 b - - 3 34
3403,4,0-1,2N2r1k/p5pp/bp2p1p1/4P3/3P1P2/1QP1K1P1/P2N2qP/2R5 b - - 0 24
